[2025-04-15 02:35:07] 전략: hold | TP: 0.0% | SL: 0.0% | RSI: 28.5 | 감정: 0.35 | 결과: {'mode': 'simulator', 'balance': 1010000.0, 'pnl': -10000.0, 'result': '❌ LOSS'}
[2025-04-15 02:50:07] 전략: hold | TP: 0.0% | SL: 0.0% | RSI: 28.5 | 감정: 0.35 | 결과: {'mode': 'simulator', 'balance': 1020000.0, 'pnl': -10000.0, 'result': '❌ LOSS'}
[2025-04-15 03:05:07] 전략: hold | TP: 0.0% | SL: 0.0% | RSI: 28.5 | 감정: 0.35 | 결과: {'mode': 'simulator', 'balance': 1030000.0, 'pnl': -10000.0, 'result': '❌ LOSS'}
[2025-04-15 03:20:07] 전략: hold | TP: 0.0% | SL: 0.0% | RSI: 28.5 | 감정: 0.35 | 결과: {'mode': 'simulator', 'balance': 1040000.0, 'pnl': -10000.0, 'result': '❌ LOSS'}
[2025-04-15 03:35:07] 전략: hold | TP: 0.0% | SL: 0.0% | RSI: 28.5 | 감정: 0.35 | 결과: {'mode': 'simulator', 'balance': 1050000.0, 'pnl': -10000.0, 'result': '❌ LOSS'}
[2025-04-15 03:50:07] 전략: hold | TP: 0.0% | SL: 0.0% | RSI: 28.5 | 감정: 0.35 | 결과: {'mode': 'simulator', 'balance': 1060000.0, 'pnl': -10000.0, 'result': '❌ LOSS'}
[2025-04-15 04:05:07] 전략: hold | TP: 0.0% | SL: 0.0% | RSI: 28.5 | 감정: 0.35 | 결과: {'mode': 'simulator', 'balance': 1070000.0, 'pnl': -10000.0, 'result': '❌ LOSS'}
[2025-04-15 04:20:07] 전략: hold | TP: 0.0% | SL: 0.0% | RSI: 28.5 | 감정: 0.35 | 결과: {'mode': 'simulator', 'balance': 1080000.0, 'pnl': -10000.0, 'result': '❌ LOSS'}
[2025-04-15 04:35:07] 전략: hold | TP: 0.0% | SL: 0.0% | RSI: 28.5 | 감정: 0.35 | 결과: {'mode': 'simulator', 'balance': 1090000.0, 'pnl': -10000.0, 'result': '❌ LOSS'}
[2025-04-15 04:50:07] 전략: hold | TP: 0.0% | SL: 0.0% | RSI: 28.5 | 감정: 0.35 | 결과: {'mode': 'simulator', 'balance': 1100000.0, 'pnl': -10000.0, 'result': '❌ LOSS'}
[2025-04-15 05:05:07] 전략: hold | TP: 0.0% | SL: 0.0% | RSI: 28.5 | 감정: 0.35 | 결과: {'mode': 'simulator', 'balance': 1110000.0, 'pnl': -10000.0, 'result': '❌ LOSS'}
[2025-04-15 05:20:07] 전략: hold | TP: 0.0% | SL: 0.0% | RSI: 28.5 | 감정: 0.35 | 결과: {'mode': 'simulator', 'balance': 1120000.0, 'pnl': -10000.0, 'result': '❌ LOSS'}
[2025-04-15 05:35:07] 전략: hold | TP: 0.0% | SL: 0.0% | RSI: 28.5 | 감정: 0.35 | 결과: {'mode': 'simulator', 'balance': 1130000.0, 'pnl': -10000.0, 'result': '❌ LOSS'}
[2025-04-15 05:50:07] 전략: hold | TP: 0.0% | SL: 0.0% | RSI: 28.5 | 감정: 0.35 | 결과: {'mode': 'simulator', 'balance': 1140000.0, 'pnl': -10000.0, 'result': '❌ LOSS'}
[2025-04-15 06:05:07] 전략: hold | TP: 0.0% | SL: 0.0% | RSI: 28.5 | 감정: 0.35 | 결과: {'mode': 'simulator', 'balance': 1150000.0, 'pnl': -10000.0, 'result': '❌ LOSS'}
[2025-04-15 06:20:07] 전략: hold | TP: 0.0% | SL: 0.0% | RSI: 28.5 | 감정: 0.35 | 결과: {'mode': 'simulator', 'balance': 1160000.0, 'pnl': -10000.0, 'result': '❌ LOSS'}
[2025-04-15 06:35:07] 전략: hold | TP: 0.0% | SL: 0.0% | RSI: 28.5 | 감정: 0.35 | 결과: {'mode': 'simulator', 'balance': 1170000.0, 'pnl': -10000.0, 'result': '❌ LOSS'}
[2025-04-15 06:50:07] 전략: hold | TP: 0.0% | SL: 0.0% | RSI: 28.5 | 감정: 0.35 | 결과: {'mode': 'simulator', 'balance': 1180000.0, 'pnl': -10000.0, 'result': '❌ LOSS'}
[2025-04-15 07:05:07] 전략: hold | TP: 0.0% | SL: 0.0% | RSI: 28.5 | 감정: 0.35 | 결과: {'mode': 'simulator', 'balance': 1190000.0, 'pnl': -10000.0, 'result': '❌ LOSS'}
